,Return,Risk
RELIANCE.NS,-0.00025606733676145196,0.00870784489184991
HDFCBANK.NS,0.002690612584215073,0.006901054171132498
ICICIBANK.NS,0.005577416990702997,0.011594232417621628
INFY.NS,0.0008375540804830514,0.011635097033042321
TCS.NS,-0.0023053431438768025,0.009748487908199373
KOTAKBANK.NS,0.0023535977341830354,0.008408576502690675
HINDUNILVR.NS,0.0035163350463094135,0.012095690042783243
ITC.NS,0.0013868386626870635,0.009922930845240987
LT.NS,0.0026810724338444066,0.011764447957346264
SBIN.NS,-0.002014919169271849,0.01272888168129982
BAJFINANCE.NS,0.0053681923592934075,0.015789030762875265
BHARTIARTL.NS,0.007352194555858618,0.013435088295144455
HCLTECH.NS,0.0019591611925354312,0.015055212222977921
ASIANPAINT.NS,0.002814959017790666,0.00985918095087261
AXISBANK.NS,0.0028126931690981376,0.008310275918637686
DMART.NS,0.00212076172222491,0.014522832880160791
MARUTI.NS,0.0014372238918197576,0.008805705123930951
ULTRACEMCO.NS,0.00171592075614411,0.007814363735574094
TITAN.NS,0.00393799721505605,0.012481544374392365
SUNPHARMA.NS,0.0024143662843805927,0.008078728385686159
M&M.NS,0.0028566268015079417,0.01622275794417748
NESTLEIND.NS,0.0030615384340801524,0.009017518281854557
WIPRO.NS,0.0013424397016828637,0.018363309989433422
ADANIGREEN.NS,0.0020407410362279148,0.02467824883601703
TATASTEEL.NS,-0.0004945803378096238,0.010056131710501941
JSWSTEEL.NS,0.003042730370504577,0.013613956362079347
POWERGRID.NS,7.866277756989724e-05,0.008452539683883566
ONGC.NS,-0.005725723502971041,0.015678223530282063
NTPC.NS,0.001984915444723688,0.016500068315878073
COALINDIA.NS,-0.0027787235479375936,0.014434416173011388
BPCL.NS,-0.002241857577676061,0.013007870101907322
IOC.NS,-0.0012305506920573818,0.014158390162326768
TECHM.NS,-8.154241636565659e-05,0.013991928849773972
INDUSINDBK.NS,0.003050142933403738,0.009057707735745114
DIVISLAB.NS,0.006348508345988985,0.014576832377334516
GRASIM.NS,0.0007668273186984771,0.013499829737129355
CIPLA.NS,0.002110099626017222,0.010121590280121448
BAJAJFINSV.NS,0.00791730468217018,0.013706394578972736
TATAMOTORS.NS,-0.004744213879605857,0.01781596364620752
HEROMOTOCO.NS,0.006021920743996699,0.01089090402623886
DRREDDY.NS,-0.002622938015930276,0.009026115415998607
SHREECEM.NS,0.000760709998852283,0.009570513712081771
BRITANNIA.NS,0.003277474614678716,0.009341108655907534
UPL.NS,0.0016677024744304735,0.013511891601655475
EICHERMOT.NS,0.0007589389304808023,0.010584334492583877
SBILIFE.NS,0.002689789656575239,0.012686470523415266
ADANIPORTS.NS,-0.001532872971042726,0.011559828736862463
BAJAJ-AUTO.NS,0.008834208504110682,0.01547860600906177
HINDALCO.NS,0.0014981940626076736,0.016576389287284717
